id,symbol,ask,bid,flags,last,time,time_msc,volume,volume_real,timestamp
1,WINV20,101345,101335,0,101340,2020-09-03T13:15:01Z,1599138901973,1,1,2020-9-3 13:15:02
2,WINV20,101105,101095,0,101100,2020-09-03T13:16:00Z,1599138960114,3,3,2020-9-3 13:16:01
3,WINV20,101150,101145,0,101150,2020-09-03T13:16:59Z,1599139019755,3,3,2020-9-3 13:17:00
4,WINV20,101195,101185,2,101190,2020-09-03T13:17:59Z,1599139079664,5,5,2020-9-3 13:18:00
5,WINV20,101210,101200,4,101205,2020-09-03T13:18:59Z,1599139139650,1,1,2020-9-3 13:19:00
6,WINV20,101285,101280,0,101285,2020-09-03T13:19:59Z,1599139199677,2,2,2020-9-3 13:20:00
7,WINV20,101370,101365,0,101370,2020-09-03T13:20:59Z,1599139259671,10,10,2020-9-3 13:21:00
8,WINV20,101355,101350,0,101350,2020-09-03T13:21:59Z,1599139319587,1,1,2020-9-3 13:22:00
9,WINV20,101375,101370,0,101375,2020-09-03T13:22:59Z,1599139379900,1,1,2020-9-3 13:23:00
10,WINV20,101395,101390,88,101390,2020-09-03T13:23:59Z,1599139439710,5,5,2020-9-3 13:24:00
11,WINV20,101360,101355,0,101360,2020-09-03T13:24:59Z,1599139499696,3,3,2020-9-3 13:25:00
12,WINV20,101370,101365,0,101365,2020-09-03T13:26:00Z,1599139560320,4,4,2020-9-3 13:26:01
13,WINV20,101390,101385,0,101390,2020-09-03T13:27:00Z,1599139620152,1,1,2020-9-3 13:27:01
14,WINV20,101430,101425,0,101430,2020-09-03T13:28:00Z,1599139680172,2,2,2020-9-3 13:28:01
15,WINV20,101310,101300,2,101305,2020-09-03T13:29:00Z,1599139740001,1,1,2020-9-3 13:29:00
16,WINV20,101260,101255,4,101260,2020-09-03T13:30:00Z,1599139800886,5,5,2020-9-3 13:30:01
17,WINV20,101370,101365,0,101370,2020-09-03T13:31:00Z,1599139860470,4,4,2020-9-3 13:31:01
18,WINV20,101310,101305,0,101310,2020-09-03T13:32:00Z,1599139920040,1,1,2020-9-3 13:32:01
19,WINV20,101325,101315,0,101320,2020-09-03T13:33:00Z,1599139980284,1,1,2020-9-3 13:33:01
20,WINV20,101260,101255,0,101255,2020-09-03T13:34:00Z,1599140040337,2,2,2020-9-3 13:34:01
21,WINV20,101160,101155,0,101160,2020-09-03T13:34:59Z,1599140099743,2,2,2020-9-3 13:35:00
22,WINV20,101160,101155,0,101165,2020-09-03T13:36:00Z,1599140160585,2,2,2020-9-3 13:36:01
23,WINV20,101250,101245,0,101250,2020-09-03T13:37:00Z,1599140220123,1,1,2020-9-3 13:37:01
24,WINV20,101315,101310,0,101310,2020-09-03T13:38:00Z,1599140280851,1,1,2020-9-3 13:38:01
25,WINV20,101315,101310,0,101310,2020-09-03T13:38:59Z,1599140339817,1,1,2020-9-3 13:39:00
26,WINV20,101360,101355,4,101360,2020-09-03T13:40:00Z,1599140400369,1,1,2020-9-3 13:40:01
27,WINV20,101315,101310,0,101310,2020-09-03T13:41:00Z,1599140460266,1,1,2020-9-3 13:41:01
28,WINV20,101310,101305,0,101310,2020-09-03T13:42:00Z,1599140520590,1,1,2020-9-3 13:42:01
29,WINV20,101200,101195,0,101200,2020-09-03T13:42:59Z,1599140579843,1,1,2020-9-3 13:43:00
30,WINV20,101225,101220,0,101225,2020-09-03T13:44:00Z,1599140640244,1,1,2020-9-3 13:44:01
31,WINV20,101150,101145,0,101150,2020-09-03T13:45:01Z,1599140701375,5,5,2020-9-3 13:45:02
32,WINV20,101200,101190,0,101195,2020-09-03T13:45:59Z,1599140759875,1,1,2020-9-3 13:46:00
33,WINV20,101215,101210,0,101210,2020-09-03T13:46:59Z,1599140819533,1,1,2020-9-3 13:47:00
34,WINV20,101135,101130,0,101130,2020-09-03T13:47:59Z,1599140879417,1,1,2020-9-3 13:48:00
35,WINV20,101040,101035,88,101035,2020-09-03T13:48:59Z,1599140939337,4,4,2020-9-3 13:49:00
36,WINV20,100970,100965,0,100970,2020-09-03T13:49:59Z,1599140999239,4,4,2020-9-3 13:50:00
37,WINV20,101030,101025,56,101030,2020-09-03T13:50:59Z,1599141059663,5,5,2020-9-3 13:51:00
38,WINV20,101010,101005,0,101005,2020-09-03T13:51:59Z,1599141119234,10,10,2020-9-3 13:52:00
39,WINV20,101015,101010,0,101015,2020-09-03T13:52:59Z,1599141179110,1,1,2020-9-3 13:53:00
40,WINV20,101085,101080,4,101080,2020-09-03T13:53:59Z,1599141239332,1,1,2020-9-3 13:54:00
41,WINV20,101130,101125,0,101130,2020-09-03T13:54:59Z,1599141299317,1,1,2020-9-3 13:55:00
42,WINV20,101205,101200,0,101205,2020-09-03T13:55:59Z,1599141359283,1,1,2020-9-3 13:56:00
43,WINV20,101260,101255,0,101255,2020-09-03T13:56:59Z,1599141419191,1,1,2020-9-3 13:57:00
44,WINV20,101210,101205,0,101205,2020-09-03T13:57:59Z,1599141479223,5,5,2020-9-3 13:58:00
45,WINV20,101075,101070,0,101075,2020-09-03T13:58:59Z,1599141539312,5,5,2020-9-3 13:59:00
46,WINV20,101010,101005,0,101005,2020-09-03T13:59:59Z,1599141599383,5,5,2020-9-3 14:00:00
47,WINV20,100985,100980,0,100980,2020-09-03T14:00:59Z,1599141659363,1,1,2020-9-3 14:01:00
48,WINV20,101000,100995,0,101000,2020-09-03T14:01:59Z,1599141719319,1,1,2020-9-3 14:02:00
49,WINV20,100690,100685,0,100685,2020-09-03T14:02:59Z,1599141779412,1,1,2020-9-3 14:03:00
50,WINV20,100655,100650,0,100655,2020-09-03T14:03:59Z,1599141839325,1,1,2020-9-3 14:04:00
51,WINV20,100525,100520,0,100525,2020-09-03T14:04:59Z,1599141899338,1,1,2020-9-3 14:05:00
52,WINV20,100390,100385,0,100390,2020-09-03T14:05:59Z,1599141959353,2,2,2020-9-3 14:06:00
53,WINV20,100605,100600,56,100605,2020-09-03T14:06:59Z,1599142019290,1,1,2020-9-3 14:07:00
54,WINV20,100425,100420,0,100420,2020-09-03T14:07:59Z,1599142079431,3,3,2020-9-3 14:08:00
55,WINV20,100310,100305,0,100310,2020-09-03T14:08:59Z,1599142139365,5,5,2020-9-3 14:09:00
56,WINV20,100520,100515,56,100520,2020-09-03T14:09:59Z,1599142199362,1,1,2020-9-3 14:10:00
57,WINV20,100485,100480,0,100480,2020-09-03T14:10:59Z,1599142259307,2,2,2020-9-3 14:11:00
58,WINV20,100580,100575,0,100575,2020-09-03T14:11:59Z,1599142319389,3,3,2020-9-3 14:12:00
59,WINV20,100625,100620,0,100620,2020-09-03T14:12:59Z,1599142379307,1,1,2020-9-3 14:13:00
60,WINV20,100735,100730,0,100730,2020-09-03T14:13:59Z,1599142439339,1,1,2020-9-3 14:14:00
61,WINV20,100785,100780,0,100785,2020-09-03T14:14:59Z,1599142499366,3,3,2020-9-3 14:15:00
62,WINV20,100720,100715,0,100715,2020-09-03T14:15:59Z,1599142559369,1,1,2020-9-3 14:16:00
63,WINV20,100605,100600,0,100605,2020-09-03T14:16:59Z,1599142619313,1,1,2020-9-3 14:17:00
64,WINV20,100535,100530,0,100535,2020-09-03T14:17:59Z,1599142679283,1,1,2020-9-3 14:18:00
65,WINV20,100480,100475,0,100475,2020-09-03T14:18:59Z,1599142739220,5,5,2020-9-3 14:19:00
66,WINV20,100415,100410,0,100415,2020-09-03T14:19:59Z,1599142799323,3,3,2020-9-3 14:20:00
67,WINV20,100320,100315,0,100315,2020-09-03T14:20:59Z,1599142859343,10,10,2020-9-3 14:21:00
68,WINV20,100440,100435,0,100435,2020-09-03T14:21:59Z,1599142919346,2,2,2020-9-3 14:22:00
69,WINV20,100570,100560,0,100565,2020-09-03T14:22:59Z,1599142979409,1,1,2020-9-3 14:23:00
70,WINV20,100680,100675,0,100675,2020-09-03T14:23:59Z,1599143039336,1,1,2020-9-3 14:24:00
71,WINV20,100605,100595,0,100595,2020-09-03T14:24:59Z,1599143099299,1,1,2020-9-3 14:25:00
72,WINV20,100505,100500,0,100500,2020-09-03T14:25:59Z,1599143159360,5,5,2020-9-3 14:26:00
